date,temperature,rainfall,humidity,wind_speed,pressure,visibility,weather_condition,severity,travel_disruption,road_condition,traffic_density
2023-01-01,12.2,9.0,71.7,2.9,1011.4,8.5,rain,moderate,delay,wet,36
2023-01-02,11.2,0.4,88.4,4.1,1007.9,7.6,rain,mild,none,wet,49
2023-01-03,9.1,3.6,72.0,3.0,1007.0,11.0,rain,mild,none,wet,54
2023-01-04,13.5,1.1,86.4,6.0,1011.1,12.1,rain,mild,delay,wet,38
2023-01-05,6.9,1.8,78.4,4.6,1004.3,9.5,rain,mild,none,wet,56
2023-01-06,14.6,6.4,80.8,1.9,1002.5,10.1,rain,moderate,none,wet,46
2023-01-07,14.3,0.0,34.8,5.6,1011.5,12.9,cloudy,mild,none,dry,30
2023-01-08,14.4,0.0,34.3,1.1,1010.4,9.1,sunny,mild,none,dry,39
2023-01-09,9.9,0.0,41.6,2.0,1013.7,11.5,cloudy,mild,none,dry,43
2023-01-10,16.0,0.0,65.8,9.0,1006.5,9.0,sunny,mild,none,dry,48
2023-01-11,12.3,4.5,80.9,7.7,1009.9,2.7,rain,moderate,none,wet,45
2023-01-12,11.1,0.0,66.3,4.0,1010.0,8.3,sunny,mild,delay,dry,44
2023-01-13,12.1,0.0,59.1,3.6,1017.0,5.8,cloudy,mild,none,dry,39
2023-01-14,13.9,2.2,85.4,0.9,1013.2,5.2,rain,mild,none,wet,33
2023-01-15,12.7,0.0,67.0,2.4,1005.6,8.9,cloudy,mild,none,dry,31
2023-01-16,15.7,0.8,96.9,22.8,996.0,10.3,storm,moderate,delay,flooded,38
2023-01-17,15.4,0.0,30.4,6.8,1011.5,7.9,sunny,mild,none,dry,51
2023-01-18,16.8,0.0,43.0,3.6,1005.2,12.3,cloudy,mild,none,dry,51
2023-01-19,18.6,6.2,85.1,8.8,1008.8,6.1,rain,moderate,none,wet,55
2023-01-20,23.2,3.0,95.6,12.7,1013.7,5.9,rain,moderate,delay,wet,46
2023-01-21,10.8,0.0,57.8,11.6,1005.6,10.5,cloudy,mild,delay,dry,23
2023-01-22,18.2,0.0,44.4,7.7,1015.3,12.7,cloudy,mild,none,dry,39
2023-01-23,14.0,0.0,56.0,8.9,1014.8,12.0,cloudy,mild,none,dry,47
2023-01-24,15.9,0.0,41.5,6.2,1007.3,8.8,sunny,mild,none,dry,47
