iter	Passed	Remaining
0	143	28479
1	155	15371
2	159	10491
3	169	8316
4	178	6949
5	188	6091
6	198	5476
7	201	4839
8	212	4514
9	216	4120
10	228	3918
11	235	3683
12	239	3445
13	249	3318
14	261	3227
15	267	3071
16	276	2981
17	295	2991
18	305	2906
19	313	2820
20	322	2749
21	337	2732
22	344	2652
23	358	2628
24	366	2567
25	377	2526
26	389	2492
27	397	2443
28	407	2404
29	417	2365
30	427	2328
31	434	2282
32	441	2235
33	451	2204
34	462	2178
35	470	2144
36	481	2121
37	489	2085
38	498	2058
39	506	2024
40	517	2005
41	524	1971
42	536	1960
43	549	1947
44	556	1918
45	573	1919
46	581	1893
47	587	1861
48	599	1846
49	606	1820
50	615	1799
51	617	1758
52	625	1734
53	634	1715
54	642	1693
55	650	1672
56	659	1654
57	671	1643
58	678	1620
59	688	1607
60	697	1589
61	707	1573
62	732	1593
63	744	1581
64	752	1562
65	762	1548
66	769	1527
67	781	1517
68	794	1509
69	804	1493
70	809	1471
71	820	1458
72	819	1426
73	841	1433
74	850	1417
75	860	1403
76	870	1390
77	880	1377
78	892	1367
79	899	1349
80	900	1322
81	909	1309
82	917	1293
83	927	1280
84	935	1265
85	944	1251
86	952	1237
87	963	1226
88	972	1212
89	987	1207
90	1007	1206
91	1023	1201
92	1042	1199
93	1060	1196
94	1069	1182
95	1080	1170
96	1097	1165
97	1109	1154
98	1129	1151
99	1141	1141
100	1148	1126
101	1161	1115
102	1171	1103
103	1181	1090
104	1195	1081
105	1207	1070
106	1220	1060
107	1229	1047
108	1242	1037
109	1254	1026
110	1260	1010
111	1270	998
112	1278	984
113	1289	972
114	1302	962
115	1312	950
116	1323	938
117	1335	928
118	1344	914
119	1353	902
120	1362	889
121	1374	878
122	1386	868
123	1394	854
124	1405	843
125	1415	831
126	1423	818
127	1435	807
128	1447	796
129	1455	783
130	1466	772
131	1477	760
132	1487	749
133	1496	737
134	1502	723
135	1515	713
136	1527	702
137	1534	689
138	1543	677
139	1552	665
140	1563	654
141	1571	641
142	1580	629
143	1589	618
144	1599	606
145	1608	595
146	1620	584
147	1630	573
148	1638	560
149	1647	549
150	1654	536
151	1667	526
152	1681	516
153	1688	504
154	1697	492
155	1709	482
156	1718	470
157	1728	459
158	1738	448
159	1746	436
160	1752	424
161	1763	413
162	1771	402
163	1780	390
164	1789	379
165	1797	368
166	1823	360
167	1841	350
168	1854	340
169	1863	328
170	1874	317
171	1885	306
172	1896	295
173	1906	284
174	1919	274
175	1925	262
176	1936	251
177	1943	240
178	1955	229
179	1963	218
180	1972	207
181	1978	195
182	1987	184
183	1995	173
184	2004	162
185	2014	151
186	2022	140
187	2029	129
188	2037	118
189	2046	107
190	2053	96
191	2068	86
192	2085	75
193	2092	64
194	2101	53
195	2107	43
196	2114	32
197	2121	21
198	2125	10
199	2133	0
