date,temperature,rainfall,humidity,wind_speed,pressure,visibility,weather_condition,severity,travel_disruption,road_condition,traffic_density
2023-01-01,6.9,0.0,32.3,2.1,1011.6,10.8,cloudy,mild,none,dry,36
2023-01-02,13.5,3.0,88.4,2.9,1000.4,7.2,rain,mild,none,wet,47
2023-01-03,8.5,0.0,50.6,2.4,1007.3,10.3,cloudy,mild,none,dry,42
2023-01-04,9.2,0.0,47.6,5.4,1008.5,10.0,sunny,mild,none,dry,61
2023-01-05,8.1,0.0,50.8,3.1,1003.4,10.6,fog,mild,none,slippery,60
2023-01-06,11.2,0.0,40.9,3.5,1008.5,8.6,sunny,mild,none,dry,51
2023-01-07,15.0,0.0,69.5,1.4,1006.6,11.8,sunny,mild,none,dry,36
2023-01-08,9.5,0.0,54.9,7.1,1008.5,8.6,sunny,mild,none,dry,27
2023-01-09,11.8,0.0,48.9,7.4,1011.8,8.1,cloudy,mild,none,dry,51
2023-01-10,4.7,0.0,34.3,0.8,1014.1,10.3,sunny,mild,none,dry,50
2023-01-11,11.9,1.3,74.8,2.9,1013.7,12.1,rain,mild,none,wet,57
2023-01-12,14.1,0.0,62.3,4.4,1008.5,12.0,sunny,mild,none,dry,44
2023-01-13,5.4,0.0,34.8,2.5,1011.7,11.4,sunny,mild,none,dry,50
2023-01-14,13.1,0.0,68.5,9.4,1009.9,5.0,sunny,mild,none,dry,26
2023-01-15,11.9,0.0,66.3,2.9,1010.0,8.3,sunny,mild,none,dry,33
2023-01-16,12.8,6.3,72.7,4.4,1003.0,5.4,rain,moderate,none,wet,54
2023-01-17,17.1,0.0,55.8,2.5,1012.7,7.3,sunny,mild,none,dry,64
2023-01-18,13.5,0.0,62.7,5.2,1012.8,14.1,sunny,mild,none,dry,39
2023-01-19,22.4,0.0,43.6,5.0,1016.5,7.4,cloudy,mild,none,dry,60
2023-01-20,15.7,0.0,34.1,0.5,1014.2,10.5,cloudy,mild,none,dry,53
2023-01-21,11.7,0.0,43.0,2.6,1013.8,13.8,cloudy,mild,none,dry,33
2023-01-22,12.9,1.2,96.8,3.5,1016.0,11.0,rain,mild,none,wet,30
2023-01-23,17.7,0.0,31.0,2.9,1005.7,6.8,fog,mild,none,slippery,47
2023-01-24,17.5,0.0,68.7,3.7,1005.8,5.5,cloudy,mild,none,dry,46
2023-01-25,16.8,0.0,33.9,4.6,1011.9,10.2,cloudy,mild,none,dry,55
2023-01-26,13.1,0.0,41.7,3.3,1012.6,11.5,cloudy,mild,none,dry,62
2023-01-27,18.4,0.0,61.8,5.5,1015.7,9.1,sunny,mild,none,dry,39
2023-01-28,19.2,0.4,71.1,0.9,1011.8,8.4,rain,mild,none,wet,23
2023-01-29,20.4,0.0,54.9,2.5,1021.9,15.5,cloudy,mild,none,dry,30
2023-01-30,16.1,0.0,31.0,1.4,1001.7,7.7,sunny,mild,none,dry,42
2023-01-31,22.6,0.0,56.4,5.6,1011.9,15.0,cloudy,mild,none,dry,48
2023-02-01,17.1,0.0,49.7,1.6,1019.4,6.1,sunny,mild,none,dry,48
2023-02-02,17.8,0.0,45.0,1.1,1010.3,17.0,cloudy,mild,none,dry,53
2023-02-03,18.5,1.8,81.6,4.6,1006.9,15.4,rain,mild,none,wet,51
2023-02-04,19.3,0.0,42.8,1.4,1006.9,8.2,sunny,mild,none,dry,33
2023-02-05,21.3,0.0,62.1,5.8,1005.9,8.3,cloudy,mild,none,dry,29
2023-02-06,20.6,0.0,47.2,7.0,1009.0,12.5,sunny,mild,none,dry,61
2023-02-07,21.6,0.0,65.8,3.1,1011.6,9.6,fog,mild,none,slippery,51
2023-02-08,16.3,0.0,60.1,5.3,1003.9,11.9,sunny,mild,none,dry,50
2023-02-09,21.4,0.0,65.5,3.8,1005.9,9.0,sunny,mild,none,dry,56
2023-02-10,18.4,2.9,72.4,16.6,982.8,4.3,storm,moderate,delay,flooded,56
2023-02-11,13.8,6.9,84.8,1.7,1009.9,5.7,rain,moderate,none,wet,22
2023-02-12,21.7,0.0,45.0,9.0,1017.7,12.1,sunny,mild,none,dry,45
2023-02-13,19.1,0.0,65.6,1.1,1011.1,10.0,sunny,mild,none,dry,50
2023-02-14,27.0,0.0,66.0,4.7,1006.2,16.6,sunny,mild,none,dry,43
2023-02-15,18.2,0.0,33.1,4.7,1011.7,15.6,sunny,mild,none,dry,57
2023-02-16,23.1,6.6,96.0,8.2,1015.9,5.3,rain,moderate,delay,wet,41
2023-02-17,20.7,0.0,40.9,3.7,1016.2,10.0,cloudy,mild,none,dry,44
2023-02-18,21.3,0.7,80.7,4.9,1012.7,10.7,rain,mild,none,wet,30
2023-02-19,19.1,0.0,52.1,6.9,1015.1,10.5,sunny,mild,none,dry,23
2023-02-20,26.0,0.0,35.5,2.4,1014.4,4.8,sunny,mild,none,dry,61
2023-02-21,26.0,0.0,45.9,6.2,1014.9,11.0,fog,mild,none,slippery,50
2023-02-22,21.8,0.0,55.3,3.2,1012.0,9.6,sunny,mild,none,dry,41
2023-02-23,21.8,1.6,90.0,4.0,1004.7,7.8,rain,mild,none,wet,32
2023-02-24,20.7,0.6,90.7,4.2,1009.0,7.6,rain,mild,none,wet,36
2023-02-25,23.0,0.0,37.4,5.9,1007.3,6.3,sunny,mild,none,dry,32
2023-02-26,25.0,0.0,50.5,7.5,1005.1,7.1,sunny,mild,none,dry,30
2023-02-27,22.8,1.4,87.8,7.4,1004.6,12.4,rain,mild,none,wet,50
2023-02-28,24.7,0.0,59.8,4.7,1004.8,9.4,sunny,mild,none,dry,47
2023-03-01,18.7,0.0,36.1,1.6,1012.8,8.0,sunny,mild,none,dry,45
2023-03-02,21.6,0.0,51.0,1.4,1011.4,9.8,sunny,mild,none,dry,48
2023-03-03,21.4,0.0,56.7,2.2,1013.8,10.3,sunny,mild,none,dry,45
2023-03-04,25.5,3.1,88.3,1.7,996.3,10.4,rain,mild,none,wet,23
2023-03-05,18.4,0.0,43.5,1.2,1007.0,12.3,cloudy,mild,none,dry,34
2023-03-06,18.2,0.0,63.2,8.1,1004.8,10.5,sunny,mild,none,dry,51
2023-03-07,23.9,1.7,90.0,6.5,1007.8,2.5,rain,mild,none,wet,60
2023-03-08,24.8,0.0,45.1,3.8,1000.6,8.9,cloudy,mild,none,dry,50
2023-03-09,26.3,0.0,55.0,7.7,998.9,5.6,sunny,mild,none,dry,57
2023-03-10,27.3,0.0,61.5,7.5,1007.7,7.5,sunny,mild,none,dry,55
2023-03-11,25.4,0.0,62.9,3.2,1011.7,9.2,cloudy,mild,none,dry,23
2023-03-12,21.2,0.0,55.6,5.6,1012.1,15.6,sunny,mild,none,dry,27
2023-03-13,18.8,0.0,67.9,3.9,1017.5,10.8,sunny,mild,none,dry,52
2023-03-14,20.9,0.0,52.6,8.2,1012.4,10.7,cloudy,mild,none,dry,42
2023-03-15,29.1,0.0,67.0,8.3,1007.4,7.0,fog,mild,none,slippery,58
2023-03-16,24.0,0.0,50.8,7.1,1001.5,14.6,sunny,mild,none,dry,46
